State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Date (Local),Year,Day In Year (Local),Units of Measure,Exceptional Data Type,Nonreg Observation Count,Observation Count,Observation Percent,Nonreg Arithmetic Mean,Arithmetic Mean,Nonreg First Maximum Value,First Maximum Value,First Maximum Hour,AQI,Daily Criteria Indicator,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,71,27,68108,1,34.030833,-117.61722,WGS84,Average Ambient Pressure,24 HOUR,,2019-01-03,2019,3,Millimeters (mercury),None,,1,100,,744,,744,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,42601,1,34.030833,-117.61722,WGS84,Nitric oxide (NO),1 HOUR,,2019-01-03,2019,3,Parts per billion,None,,24,100,,64.145833,,142.2,7,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,61103,1,34.030833,-117.61722,WGS84,Wind Speed - Resultant,1 HOUR,,2019-01-03,2019,3,Knots,None,,24,100,,1.291667,,2.1,12,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68106,1,34.030833,-117.61722,WGS84,Sample Min Baro Pressure,24 HOUR,,2019-01-03,2019,3,Millimeters (mercury),None,,1,100,,741,,741,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,61104,1,34.030833,-117.61722,WGS84,Wind Direction - Resultant,1 HOUR,,2019-01-03,2019,3,Degrees Compass,None,,24,100,,112.416667,,345,5,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,62101,1,34.030833,-117.61722,WGS84,Outdoor Temperature,1 HOUR,,2019-01-03,2019,3,Degrees Fahrenheit,None,,24,100,,52.3625,,68,15,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68101,1,34.030833,-117.61722,WGS84,Sample Flow Rate- CV,24 HOUR,,2019-01-03,2019,3,Percent,None,,1,100,,0.1,,0.1,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68105,1,34.030833,-117.61722,WGS84,Average Ambient Temperature,24 HOUR,,2019-01-03,2019,3,Degrees Centigrade,None,,1,100,,11.1,,11.1,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68103,1,34.030833,-117.61722,WGS84,Ambient Min Temperature,24 HOUR,,2019-01-03,2019,3,Degrees Centigrade,None,,1,100,,2.6,,2.6,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68104,1,34.030833,-117.61722,WGS84,Ambient Max Temperature,24 HOUR,,2019-01-03,2019,3,Degrees Centigrade,None,,1,100,,21,,21,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
